KRFP1184	[!#1]C(=N[OH])[!#1]
KRFP1185	[!#1]C(=N[OH])[CH2][CH]([CH3])[CH3]
KRFP1186	[!#1]C(=N[OH])[CH2][CH3]
KRFP1187	[!#1]C(=N[OH])[CH3]
KRFP1188	[!#1]C(=N[OH])N([CH2][CH3])[CH2][CH3]
KRFP1189	[!#1]C(=NN=C([!#1])[CH3])[CH3]
KRFP119	[!#1][CH]([OH])c1[cH][cH][cH][cH][cH]1
KRFP1190	[!#1]C(=NO[CH2][CH3])[CH2][CH2][CH3]
KRFP1191	[!#1]C(=NO[CH2]ON=C([!#1])[CH3])[CH3]
KRFP1192	[!#1]C(=NOC(=O)[!#1])[CH3]
KRFP1193	[!#1]C(=O)[!#1]
KRFP1194	[!#1]C(=O)[CH]([CH]1[CH2][CH2][CH2][CH2][CH2]1)C(=O)[!#1]
KRFP1195	[!#1]C(=O)[CH]([CH3])[CH3]
KRFP1196	[!#1]C(=O)[CH]([CH3])c1[cH][cH]c([CH2][CH]([CH3])[CH3])[cH][cH]1
KRFP1197	[!#1]C(=O)[CH]([CH3])N([CH3])[CH3]
KRFP1198	[!#1]C(=O)[CH](c1[cH][cH][cH][cH][cH]1)c2[cH][cH][cH][cH][cH]2
KRFP1199	[!#1]C(=O)[CH](F)F
KRFP12	[!#1][CH]([!#1])[CH2]C(=O)[CH3]
KRFP120	[!#1][CH](C(=O)[CH3])C(=O)[CH3]
KRFP1200	[!#1]C(=O)[CH]1[CH]([CH]2c3[cH][cH][cH][cH]c3[CH]1c4[cH][cH][cH][cH]c24)C(=O)[OH]
KRFP1201	[!#1]C(=O)[CH]1[CH]2[CH2][CH2][CH2][CH2][CH]12
KRFP1202	[!#1]C(=O)[CH]1[CH2][CH]1c2[cH][cH][cH][cH][cH]2
KRFP1203	[!#1]C(=O)[CH]1[CH2][CH2][CH2][CH2][CH2]1
KRFP1204	[!#1]C(=O)[CH]1[CH2][CH2]1
KRFP1205	[!#1]C(=O)[CH]1[CH2][CH2]C([CH3])(C(=O)[OH])C1([CH3])[CH3]
KRFP1206	[!#1]C(=O)[CH]1[CH2]C1([CH3])[CH3]
KRFP1207	[!#1]C(=O)[CH]1[CH2]C1(c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH][cH][cH]3
KRFP1208	[!#1]C(=O)[CH]1[CH2]C1(c2[cH][cH]c([CH3])[cH][cH]2)c3[cH][cH]c([CH3])[cH][cH]3
KRFP1209	[!#1]C(=O)[CH]1[CH2]C21[CH2][CH2][CH2]2
KRFP121	[!#1][CH](C(=O)O[CH2][CH3])C(=O)O[CH2][CH3]
KRFP1210	[!#1]C(=O)[CH]1C(=O)C([!#1])([!#1])C(=O)[CH2]C1([CH3])[CH3]
KRFP1211	[!#1]C(=O)[CH2][CH]([CH3])[CH2]C(=O)[!#1]
KRFP1212	[!#1]C(=O)[CH2][CH]([CH3])[CH3]
KRFP1213	[!#1]C(=O)[CH2][CH]([NH2])C(Cl)(Cl)Cl
KRFP1214	[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2]C(=O)[!#1]
KRFP1215	[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]
KRFP1216	[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2]C(=O)[!#1]
KRFP1217	[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH3]
KRFP1218	[!#1]C(=O)[CH2][CH2][CH2][CH2][CH3]
KRFP1219	[!#1]C(=O)[CH2][CH2][CH2][CH2]C(=O)[!#1]
KRFP122	[!#1][CH](C(=O)O[CH3])C(=O)O[CH3]
KRFP1220	[!#1]C(=O)[CH2][CH2][CH2][CH2]C(=O)[OH]
KRFP1221	[!#1]C(=O)[CH2][CH2][CH2][CH3]
KRFP1222	[!#1]C(=O)[CH2][CH2][CH2]C(=O)[!#1]
KRFP1223	[!#1]C(=O)[CH2][CH2][CH2]C(=O)[OH]
KRFP1224	[!#1]C(=O)[CH2][CH2][CH2]c1[cH][cH][cH][cH][cH]1
KRFP1225	[!#1]C(=O)[CH2][CH2][CH3]
KRFP1226	[!#1]C(=O)[CH2][CH2]Br
KRFP1227	[!#1]C(=O)[CH2][CH2]C([CH3])([CH3])C(=O)[!#1]
KRFP1228	[!#1]C(=O)[CH2][CH2]C(=O)[!#1]
KRFP1229	[!#1]C(=O)[CH2][CH2]C(=O)[OH]
KRFP123	[!#1][CH](F)C(F)(F)F
KRFP1230	[!#1]C(=O)[CH2][CH2]C(=O)O[CH2]C(=O)[!#1]
KRFP1231	[!#1]C(=O)[CH2][CH2]C(=O)O[CH3]
KRFP1232	[!#1]C(=O)[CH2][CH2]c1[cH][cH][cH][cH][cH]1
KRFP1233	[!#1]C(=O)[CH2][CH2]c1[cH][cH]c([CH3])o1
KRFP1234	[!#1]C(=O)[CH2][CH2]N([CH2][CH3])[CH2][CH3]
KRFP1235	[!#1]C(=O)[CH2][CH2]N([CH3])[CH3]
KRFP1236	[!#1]C(=O)[CH2][CH3]
KRFP1237	[!#1]C(=O)[CH2][NH][CH2][CH2][OH]
KRFP1238	[!#1]C(=O)[CH2][NH][CH2][CH3]
KRFP1239	[!#1]C(=O)[CH2][NH]C([CH3])([CH3])[CH3]
KRFP124	[!#1][CH](F)OC(F)(F)F
KRFP1240	[!#1]C(=O)[CH2][NH]C(=O)[!#1]
KRFP1241	[!#1]C(=O)[CH2][NH2]
KRFP1242	[!#1]C(=O)[CH2]C([!#1])([OH])C(F)(F)[CH](F)F
KRFP1243	[!#1]C(=O)[CH2]C([!#1])([OH])C(F)(F)F
KRFP1244	[!#1]C(=O)[CH2]C(=N[NH]c1[cH][cH][cH][cH][cH]1)[CH3]
KRFP1245	[!#1]C(=O)[CH2]C(=O)[!#1]
KRFP1246	[!#1]C(=O)[CH2]C(=O)[CH3]
KRFP1247	[!#1]C(=O)[CH2]C(=O)O[CH2][CH3]
KRFP1248	[!#1]C(=O)[CH2]C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3
KRFP1249	[!#1]C(=O)[CH2]C1(C(=O)c2[cH][cH][cH][cH]c2C1=O)c3[cH][cH][cH][cH][cH]3
KRFP125	[!#1][CH](OC(=O)[CH3])OC(=O)[CH3]
KRFP1250	[!#1]C(=O)[CH2]c1[cH][cH][cH][cH][cH]1
KRFP1251	[!#1]C(=O)[CH2]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12
KRFP1252	[!#1]C(=O)[CH2]Cl
KRFP1253	[!#1]C(=O)[CH2]F
KRFP1254	[!#1]C(=O)[CH2]N([CH2][CH3])[CH2][CH3]
KRFP1255	[!#1]C(=O)[CH2]N([CH3])[CH3]
KRFP1256	[!#1]C(=O)[CH2]OC(=O)[!#1]
KRFP1257	[!#1]C(=O)[CH2]OC(=O)[CH2][CH2][CH2][CH3]
KRFP1258	[!#1]C(=O)[CH2]OC(=O)[CH2][CH2]C(=O)C(=O)O[CH2]C(=O)[!#1]
KRFP1259	[!#1]C(=O)[CH2]OC(=O)[CH2][CH2]S(=O)(=O)[!#1]
KRFP126	[!#1][CH]=[CH][!#1]
KRFP1260	[!#1]C(=O)[CH2]OC(=O)C(=O)O[CH2]C(=O)[!#1]
